Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\C210 Rev_D\.\Fabrication\Pick Place\UBXH60-0000778_Rev D.csv

========================================================================================================================
File Design Information:

Date:       21/12/22
Time:       12:40
Revision:   04f11c285bf41386b252610882419a71e561a7d0
Variant:    C210_Final
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C144","120-000160.1uF","TopLayer","Cap_0402_HD","23.2300","64.8167","270","Cap, Ceramic 0.1uF 10V 10% X5R 0402"
"C143","UBXH01-00000353U3","TopLayer","Cap_0603_HD","32.7536","76.5995","90","CAP CER X5R 0603 3U3 10% 10V"
"A1","PCS.66.A","BottomLayer","PCS.66.A","35.0000","115.4750","180","RF Passive, Antenna, LTE, 600-6000MHz, Monopole"
"C95","120-000160.1uF","TopLayer","Cap_0402_HD","54.6182","76.1296","180","Cap, Ceramic 0.1uF 10V 10% X5R 0402"
"C94","120-000204.7uF","TopLayer","Cap_0402_HD","55.2500","72.1250","0","Cap, Ceramic 4.7uF 10V 20% X5R 0402"
"U34","","TopLayer","SOT-23-5_2","56.8750","74.6582","90","Load Switch, 400mA, 1.8-5.5V, Active High Enable, SOT-23-5"
"D14","LTST-C190YKT","TopLayer","LTST-C190YKT","14.7250","66.9750","270","DIODE, LED, SMT, YELLOW, CLEAR LENS, 2.1V 10mA, 0603"
"R129","180-000541M","TopLayer","RES_0402_HD","40.9000","45.2750","270","Resistor 1M ohm 1%, 1/16W, 0402"
"Q28","140-00030","TopLayer","SOT-563","45.0750","38.0000","0","MOSFET N/P-CH 20V SOT-563, 540 mA, -430 mA"
"U33","SKY13585-679LF:","TopLayer","SKY13585-679LF","51.5792","43.5828","0","RF SWITCH, SPDT, I2C, 3-AXIS, 3-5V, 1-6GHz, SMT, DFN-6, 1mmX1mm"
"U32","SKY13585-679LF:","TopLayer","SKY13585-679LF","41.4355","42.9828","180","RF SWITCH, SPDT, I2C, 3-AXIS, 3-5V, 1-6GHz, SMT, DFN-6, 1mmX1mm"
"R128","180-000541M","TopLayer","RES_0402_HD","45.3750","39.4250","180","Resistor 1M ohm 1%, 1/16W, 0402"
"C141","120-000160.1uF","TopLayer","Cap_0402_HD","40.1000","23.2793","90","Cap, Ceramic 0.1uF 10V 10% X5R 0402"
"BTN5","135-00007","TopLayer","B3U-1000P","63.0000","104.0000","90","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"BTN4","135-00007","TopLayer","B3U-1000P","58.0000","104.0000","90","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"R2","180-000541M","TopLayer","RES_0402_HD","59.6500","101.0250","180","Resistor 1M ohm 1%, 1/16W, 0402"
"R3","180-000541M","TopLayer","RES_0402_HD","61.2500","101.0250","0","Resistor 1M ohm 1%, 1/16W, 0402"
"Q1","140-00016","TopLayer","SOT-563","60.5000","102.5000","180","MOSFET 2N-CH 20V 0.8A, SOT-563"
"D2","110-00041","TopLayer","SOD-523_ALT","57.8500","101.0250","180","Diode TVS 5VWM BiDIR SOD523"
"D3","110-00041","TopLayer","SOD-523_ALT","63.0381","101.0250","0","Diode TVS 5VWM BiDIR SOD523"
"Z2","150-0001010nH","TopLayer","IND_0402","36.2750","101.1250","180","INDUCTOR 10NH 300MA 0402"
"Z4","180-000200R","TopLayer","RES_0402_HD","35.0250","99.1016","270","Resistor 0 ohm 1/16W 0402"
"Z1","120-000793.3pF","TopLayer","Cap_0402_HD","35.0250","100.7000","90","CAP CER 3.3PF 50V +/-0.25pF NP0 0402"
"R9","180-00093100K","TopLayer","RES_0402_HD","18.5607","38.8621","180","Resistor 100K ohm 1% 1/16W, 0402"
"R8","180-0002410k","TopLayer","RES_0402_HD","9.0000","45.8883","270","Resistor 10k ohm 1% 1/16W, 0402"
"C8","120-000160.1uF","TopLayer","Cap_0402_HD","26.9723","102.3500","0","Cap, Ceramic 0.1uF 10V 10% X5R 0402"
"C6","120-0004533pF","TopLayer","Cap_0402_HD","1.2000","105.3000","180","Cap, Ceramic,  33pF, 50V, 5%, NPO, 0402"
"C7","120-0004533pF","TopLayer","Cap_0402_HD","8.5000","104.6750","0","Cap, Ceramic,  33pF, 50V, 5%, NPO, 0402"
"C5","120-0004533pF","TopLayer","Cap_0402_HD","8.5000","103.7250","0","Cap, Ceramic,  33pF, 50V, 5%, NPO, 0402"
"C4","120-0004533pF","TopLayer","Cap_0402_HD","2.0993","104.4500","180","Cap, Ceramic,  33pF, 50V, 5%, NPO, 0402"
"C2","120-000160.1uF","TopLayer","Cap_0402_HD","2.0993","103.5750","180","Cap, Ceramic 0.1uF 10V 10% X5R 0402"
"U1","SARA-R5","TopLayer","SARA-XX","19.8000","93.7500","270","GSM/GPRS and GSM/EGPRS/HSPA Cellular Module"
"D1","","TopLayer","TPD3E001DRSR","5.1250","104.6750","180","TVS Diode, ESD High Speed 3-Channel Array, WSON-6, 3mmX3mm"
"C133","120-00099300pF","TopLayer","Cap_0402_HD","4.9745","89.6750","90","Cap, Ceramic 300pF 50V 5% NP0 0402"
"C9","120-000160.1uF","TopLayer","Cap_0402_HD","2.1250","99.3250","90","Cap, Ceramic 0.1uF 10V 10% X5R 0402"
"C13","120-000160.1uF","TopLayer","Cap_0402_HD","4.5662","97.0068","0","Cap, Ceramic 0.1uF 10V 10% X5R 0402"
"C1","120-0004533pF","TopLayer","Cap_0402_HD","7.5270","102.7000","0","Cap, Ceramic,  33pF, 50V, 5%, NPO, 0402"
"C12","120-0004533pF","TopLayer","Cap_0402_HD","4.6250","99.3000","90","Cap, Ceramic,  33pF, 50V, 5%, NPO, 0402"
"C10","120-0004533pF","TopLayer","Cap_0402_HD","3.7750","99.3000","90","Cap, Ceramic,  33pF, 50V, 5%, NPO, 0402"
"R1","180-0002410k","TopLayer","RES_0402_HD","1.5750","96.4250","90","Resistor 10k ohm 1% 1/16W, 0402"
"ESIM","MFF2 SIM","BottomLayer","MFF2_SIM","4.0250","101.7000","270","ESIM, SMT, MFF2, 1.8V, SMT, VFDFPN8, 5mmX6mm"
"U2","NX3DV2567","TopLayer","XQFN-16","3.8113","95.1000","0","IC, ANLG SWITCH, 4PDT, SIM OPTIMIZED, 1.4V-4.3V, SMT, XQFN-16, 2.6mmX1.8mm"
"J5","SM04B-SRSS-TB(LF)(SN)","TopLayer","SM04B-SRSS-TB(LF)(SN)","8.8875","29.4305","270","Conn, Header, SMD, 1mm Pitch, 4 Pin, R/A, White"
"C115","120-000160.1uF","TopLayer","Cap_0402_HD","13.0648","30.4490","270","Cap, Ceramic 0.1uF 10V 10% X5R 0402"
